GAME_DATE_EST,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
4277,2022,113.0,0.457,0.767,0.273,23.0,48.0,112.0,0.506,0.76,0.406,20.0,40.0,1
4276,2022,110.0,0.449,0.688,0.32,24.0,55.0,108.0,0.427,0.944,0.22,24.0,45.0,1
4276,2022,99.0,0.425,0.815,0.257,20.0,35.0,107.0,0.476,0.833,0.389,25.0,47.0,0
4276,2022,129.0,0.438,0.857,0.317,27.0,44.0,132.0,0.494,0.745,0.313,24.0,48.0,0
4276,2022,122.0,0.494,0.889,0.432,27.0,38.0,104.0,0.414,0.885,0.25,20.0,45.0,1
4276,2022,128.0,0.5,0.789,0.353,28.0,41.0,117.0,0.534,0.8,0.366,27.0,38.0,1
4276,2022,110.0,0.472,0.826,0.269,24.0,47.0,107.0,0.43,0.8,0.282,27.0,45.0,1
4276,2022,128.0,0.471,0.829,0.343,25.0,59.0,122.0,0.476,0.806,0.385,14.0,28.0,1
4276,2022,132.0,0.516,0.741,0.474,26.0,46.0,111.0,0.43,0.871,0.323,26.0,41.0,1
4276,2022,117.0,0.506,0.72,0.469,27.0,43.0,102.0,0.391,0.846,0.364,12.0,41.0,1
4276,2022,123.0,0.463,0.875,0.241,24.0,50.0,119.0,0.436,0.826,0.364,25.0,47.0,1
4276,2022,94.0,0.38,0.75,0.182,21.0,50.0,105.0,0.482,0.85,0.296,28.0,49.0,0
4276,2022,108.0,0.483,0.654,0.241,25.0,43.0,102.0,0.424,0.938,0.346,21.0,49.0,1
4276,2022,129.0,0.515,0.833,0.444,33.0,49.0,118.0,0.474,0.882,0.244,28.0,42.0,1
4276,2022,104.0,0.544,0.559,0.5,22.0,33.0,114.0,0.494,0.696,0.333,27.0,37.0,0
4275,2022,107.0,0.478,0.619,0.261,25.0,44.0,101.0,0.442,0.889,0.237,20.0,45.0,1
4275,2022,114.0,0.554,0.87,0.444,22.0,39.0,96.0,0.449,1.0,0.419,28.0,32.0,1
4275,2022,101.0,0.385,0.688,0.364,25.0,30.0,115.0,0.61,0.765,0.364,31.0,50.0,0
4275,2022,115.0,0.446,0.957,0.367,23.0,47.0,106.0,0.461,0.714,0.29,27.0,48.0,1
4275,2022,125.0,0.536,0.857,0.5,29.0,38.0,112.0,0.537,0.619,0.355,20.0,35.0,1
4275,2022,113.0,0.419,0.864,0.39,20.0,53.0,105.0,0.472,0.579,0.263,27.0,43.0,1
4275,2022,98.0,0.356,0.76,0.241,16.0,52.0,112.0,0.549,0.714,0.447,32.0,39.0,0
4275,2022,113.0,0.456,0.76,0.316,24.0,48.0,118.0,0.494,0.778,0.429,30.0,35.0,0
4275,2022,126.0,0.433,0.857,0.45,26.0,39.0,131.0,0.477,0.805,0.368,31.0,55.0,0
4275,2022,110.0,0.482,0.643,0.294,31.0,37.0,129.0,0.573,0.7,0.424,33.0,42.0,0
4275,2022,116.0,0.494,0.842,0.439,31.0,38.0,125.0,0.494,0.926,0.5,24.0,38.0,0
4275,2022,124.0,0.495,0.692,0.373,36.0,45.0,107.0,0.453,0.667,0.379,22.0,43.0,1
4274,2022,115.0,0.434,0.813,0.5,19.0,49.0,106.0,0.55,0.692,0.321,31.0,35.0,1
4274,2022,109.0,0.451,0.633,0.267,26.0,49.0,113.0,0.433,0.741,0.333,27.0,45.0,0
4274,2022,108.0,0.5,0.654,0.263,28.0,42.0,110.0,0.511,0.857,0.286,27.0,40.0,0
4274,2022,115.0,0.471,0.6,0.471,23.0,49.0,105.0,0.424,0.829,0.182,19.0,45.0,1
4273,2022,114.0,0.6,0.87,0.526,24.0,37.0,102.0,0.437,0.882,0.324,24.0,35.0,1
4273,2022,123.0,0.5,0.889,0.283,32.0,48.0,102.0,0.424,0.76,0.314,20.0,38.0,1
4273,2022,121.0,0.517,0.75,0.483,26.0,51.0,107.0,0.437,0.706,0.38,28.0,38.0,1
4273,2022,119.0,0.547,0.64,0.321,31.0,42.0,111.0,0.473,0.789,0.276,19.0,40.0,1
4273,2022,105.0,0.435,0.85,0.298,30.0,40.0,101.0,0.389,0.667,0.289,26.0,46.0,1
